person_id,movie_id,person_role_id,note,role_id
4,3494,7.0,,1
165,3537,148.0,,1
339,3354,1.0,,1
339,3363,1.0,,1
339,3479,1.0,(archive footage),1
339,3503,1.0,,1
339,3511,9.0,,1
339,3513,9.0,,1
505,3342,53.0,(2000-2005),1
505,3343,53.0,,1
505,3347,53.0,,1
505,3352,53.0,,1
505,3354,53.0,,1
505,3488,53.0,,1
505,3506,53.0,,1
505,3508,53.0,,1
505,3512,53.0,,1
505,3525,53.0,,1
505,3533,53.0,,1
505,3537,53.0,,1
505,3538,53.0,,1
505,3543,53.0,,1
505,3544,53.0,,1
750,1469,804.0,,1
750,1470,1.0,,1
750,2636,805.0,(archive footage),1
900,5564,1129.0,,1
900,5565,1129.0,,1
900,5566,1129.0,,1
900,5567,1129.0,,1
900,5568,1129.0,,1
900,5569,1129.0,,1
900,5570,1129.0,,1
900,5572,1130.0,,1
900,5573,1130.0,,1
900,5574,1130.0,,1
900,5575,1129.0,,1
900,5575,1131.0,,1
900,5576,1130.0,,1
900,5577,1130.0,,1
900,5578,1130.0,,1
900,5660,1132.0,,1
900,5661,1132.0,,1
900,5662,1132.0,,1
921,618,821.0,,1
938,4219,1211.0,,1
957,5661,1263.0,,1
1078,5819,1466.0,,1
1078,5820,1466.0,,1
1143,3483,1565.0,,1
1143,3548,1566.0,,1
1236,1394,1.0,(archive footage),1
1385,2450,1829.0,,1
1385,2452,1829.0,,1
1385,2459,1829.0,,1
1385,2496,1829.0,(uncredited),1
1385,2500,1829.0,,1
1385,2506,1829.0,(uncredited),1
1397,4440,,(as E. Abalov),1
1871,584,2725.0,,1
2046,5757,3234.0,,1
2267,532,3846.0,,1
2954,4440,4657.0,,1
3262,1598,542.0,,1
3645,4203,946.0,(uncredited),1
3645,4203,3445.0,(uncredited),1
3645,4205,6542.0,(uncredited),1
3880,1672,2723.0,,1
4408,1578,3428.0,,1
4736,585,8825.0,,1
4778,418,1.0,,1
5135,1394,1.0,(archive footage),1
5262,488,9789.0,,1
5262,519,9789.0,,1
5262,526,9789.0,,1
5262,539,,,1
5461,2418,10033.0,,1
5461,2419,10033.0,,1
5461,2420,10033.0,,1
5461,2421,10033.0,,1
5461,2422,10033.0,,1
5461,2423,10033.0,,1
5461,2424,10033.0,,1
5461,2425,10033.0,,1
5461,2426,10033.0,,1
5461,2427,10033.0,,1
5461,2428,10033.0,,1
5461,2429,10033.0,,1
5461,2430,10033.0,,1
5461,2431,10033.0,,1
5461,2432,10033.0,,1
5461,2433,10033.0,,1
5461,2434,10033.0,(credit only),1
5461,2435,10033.0,,1
5461,2436,10033.0,,1
5461,2437,10033.0,,1
5461,2438,10033.0,,1
5461,2439,10033.0,,1
5461,2440,10033.0,,1
5461,2441,10033.0,,1
5461,2442,10033.0,,1
5461,2443,10033.0,,1
5461,2444,10033.0,,1
5461,2445,10033.0,,1
5461,2446,10033.0,,1
5461,2447,10033.0,,1
5461,2448,10033.0,,1
5461,2449,10033.0,,1
5461,2450,10033.0,,1
5461,2451,10033.0,,1
5461,2452,10033.0,,1
5461,2453,10033.0,(credit only),1
5461,2454,10033.0,,1
5461,2455,10033.0,,1
5461,2456,10033.0,,1
5461,2457,10033.0,,1
5461,2458,10033.0,,1
5461,2459,10033.0,,1
5461,2460,10033.0,,1
5461,2461,10033.0,,1
5461,2462,10033.0,,1
5461,2463,10033.0,,1
